영문공항명,한글공항명,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명
Seattle Lake Union SPB Airport,레이크 유니온 수상비행장 공항,LKE,,북미,United States of America,미국,Seattle
Seattle-Tacoma International Airport,시애틀 타코마 국제공항,SEA,KSEA,북미,United States of America,미국,Seattle
Sebha Airport,세바 공항,SEB,HLLS,아프리카,Libya,리비아,Sebha
Sechelt Airport,세헬트 공항,YHS,,북미,Canada,캐나다,Sechelt
Seghe Airport,세지 공항,EGM,,대양주,Solomon Islands,솔로몬제도,Seghe
Seinajoki Ilmajoki Airport,일마조키 공항,SJY,EFSI,유럽,Finland,핀란드,Seinajoki
Selawik Airport,셀라윅 공항,WLK,,북미,United States of America,미국,Selawik
Seldovia Airport,셀도비아 공항,SOV,PASO,북미,United States of America,미국,Seldovia
Selebi Phikwe Airport,셀레비-피크베 지역공항,PKW,FBSP,아프리카,Botswana,보츠와나,Selebi-Phikwe
Semarang General Ahmad Yani Airport,아츠마드 야니 공항,SRG,WARS,아시아,Indonesia,인도네시아,Semarang
Semera Airport,세메라 공항,SZE,HASM,아프리카,Ethiopia,이디오피아,Semera
Semey Airport,세미팔라틴스크 공항,PLX,UASS,아시아,Kazakhstan,카자흐스탄,Semipalatinsk
Sena Madureira Airport,세나 마두레이라 공항,ZMD,,중남미,Brazil,브라질,Sena Madureira
Sangapi Airport,상가피 공항,SGK,,대양주,Papua New Guinea,파푸아뉴기니,Sengapi
La Seu d'Urgell Airport,델라 세우 공항,LEU,LESU,유럽,Spain,스페인,Seo De Urgel
Seoul Gimpo International Airport,김포 국제공항,GMP,RKSS,아시아,South Korea,대한민국,Seoul
Seoul Incheon International Airport,인천 국제공항,ICN,RKSI,아시아,South Korea,대한민국,Seoul / Incheon
Sept-Iles Airport,셉트아일스 공항,YZV,CYZV,북미,Canada,캐나다,Sept-Iles
Seronera Airport,세로네라 공항,SEU,,아프리카,Tanzania,탄자니아,Seronera
S. Condronegoro,S. 콘드로네고로,ZRI,WABO,아시아,Indonesia,인도네시아,Serui-Japen Island
Setif Airport,아인 아낫 공항,QSF,DAAS,아프리카,Algeria,알제리,Setif
Belbek Sevastopol International Airport,벨벡 세바스토폴 국제공항,UKS,UKFB,유럽,Russian Federation,러시아,Sevastopol
Seville Airport,세빌리아 산 파블로 공항,SVQ,LEZL,유럽,Spain,스페인,Sevilla
Sfax Thyna Airport,엘 마오우 공항,SFA,DTTX,아프리카,Tunisia,튀니지,Sfax
Shache Yeerqiang Airport,샤시 공항,QSZ,ZWSC,아시아,China,중국,Shache
Shageluk Airport,샤겔룩 공항,SHX,,북미,United States of America,미국,Shageluk
Shahre-Kord Airport,샤레크코드 공항,CQD,OIFS,중동,Iran,이란,Shahrekord
Shahroud Airport,샤루드 공항,RUD,,중동,Iran,이란,Shahrud
Shakhtersk Airport,샤흐티크스크 공항,EKS,UHSK,유럽,Russian Federation,러시아,Shakhtyorsk 
Shaktoolik Airport,샤크툴리크 공항,SKK,,북미,United States of America,미국,Shaktoolik
Shamattawa Airport,샤마타와 공항,ZTM,,북미,Canada,캐나다,Shamattawa
Shanghai Pudong International Airport,푸동 공항,PVG,ZSPD,아시아,China,중국,Shanghai
Shanghai Hongqiao International Airport,홍챠오 공항,SHA,ZSSS,아시아,China,중국,Shanghai
Shangrao Sanqingshan Airport,샹라오 산칭산 공항,SQD,,아시아,China,중국,Shangrao
Shannon Airport,섀넌 국제공항,SNN,EINN,유럽,Ireland,아일랜드,Shannon / Conty Clare
Jieyang Chaoshan International Airport,산터우  공항,SWA,ZGOW,아시아,China,중국,Shantou
Shaoguan Danxia Airport,사오관 단샤 공항,HSC,,아시아,China,중국,Shaoguan
Shaoyang Wugang Airport,사오양 우강 공항,WGN,,아시아,China,중국,Shaoyang
Sharjah Airport,샤르자 /샤져 국제공항,SHJ,OMSJ,중동,United Arab Emirates,UAE,Sharjah
Sharm el-Sheikh International Airport,오피라 국제공항,SSH,HESH,아프리카,Egypt,이집트,Sharm El Sheikh
Sharurah Airport,샤오러 국내공항,SHW,OESH,중동,Saudi Arabia,사우디아라비아,Sharorah ( Sharurah )
Jingzhou Shashi Airport,사시 공항,SHS,ZHJZ,아시아,China,중국,Shashi (Jingzhou)
Shennongjia Hongping Airport,훙핑공항,HPG,ZHSN,아시아,China,중국,Shennongjia
Shenyang Taoxian International Airport,선양 타오시안 국제공항,SHE,ZYTX,아시아,China,중국,Shenyang
Shenzhen Bao'an International Airport,쉔젠 바오안 국제공항,SZX,ZGSZ,아시아,China,중국,Shenzhen
Sherbrooke Airport,쉐브룩 공항,YSC,CYSC,북미,Canada,캐나다,Sherbrooke
Sheridan County Airport,쉐리단 카운티 공항,SHR,KSHR,북미,United States of America,미국,Sheridan
Shetland Islands Sumburgh Airport,섬버그 공항,LSI,EGPB,유럽,United Kingdom,영국,Shetland Islands
Shetland Islands Tingwall Airport,러윅 팅월 공항,LWK,EGET,유럽,United Kingdom,영국,Shetland Islands
Ninglang Luguhu Airport,닝랑 루구후 공항,NLH,,아시아,China,중국,"Shifoshan, Hongqiao Township"
Shihezi Huayuan Airport,시하쯔 화원 공항,SHF,ZWHZ,아시아,China,중국,Shihezi
Shijiazhuang Zhengding International Airport,다구오쿤 공항,SJW,ZBSJ,아시아,China,중국,Shijiazhuang
Severo-Evensk Airport,세베로이벤스크 공항,SWV,,유럽,Russian Federation,러시아,Shikarpur
Shillavo Airport,실라보 공항,HIL,,아프리카,Ethiopia,이디오피아,Shilavo
Shillong Airport,실롱 공항,SHL,VEBI,아시아,India,인도,Shillong
Shimla Airport,심라 공항,SLV,VISM,아시아,India,인도,Shimla
Shinyanga Airport,신양가 공항,SHY,HTSY,아프리카,Tanzania,탄자니아,Shinyanga
Shirahama Airport,난키 시라하마 공항,SHM,RJBD,아시아,Japan,일본,Shirahama
Shiraz Airport,쉬라즈 국제공항  ,SYZ,OISS,중동,Iran,이란,Shiraz
Shire Inda Selassie Airport,샤이어 인다 셀라시에 공항,SHC,,아프리카,Ethiopia,이디오피아,Shire Indasilase
Shishmaref Airport,쉬쉬마레프 공항,SHH,PASH,북미,United States of America,미국,Shishmaref
Shiyan Wudangshan Airport,시얀 우당산 공항,WDS,ZHSY,아시아,China,중국,Shiyan
Mount Fuji Shizuoka Airport,시즈오카 공항,FSZ,RJNS,아시아,Japan,일본,Shizuoka
Sholapur Airport,솔라푸르 공항,SSE,,아시아,India,인도,Sholapur ( Solapur )
Brighton City Airport,쇼햄 공항 ,ESH,EGKA,유럽,United Kingdom,영국,Shoreham
Balalae Airport,발라레 공항,BAS,AGGE,대양주,Solomon Islands,솔로몬제도,Shortland Island
Show Low Regional Airport,쇼우로우 공항,SOW,KSOW,북미,United States of America,미국,Show Low
Shreveport Regional Airport,슈리브포트 공항,SHV,KSHV,북미,United States of America,미국,Shreveport
Chiayi Airport,자이 공항,CYI,RCKU,아시아,Taiwan,대만,Shuishang 
Shungnak Airport,셩넥 공항,SHG,PAGH,북미,United States of America,미국,Shungnak
Shymkent Airport,쉬미르켄트 공항,CIT,UAII,아시아,Kazakhstan,카자흐스탄,Shymkent ( Chimkent )
Sialkot International Airport,시알 코트 국제 공항,SKT,OPST,아시아,Pakistan,파키스탄,Sialkot
Del Carmen Sayak Airport,델 카르멘 사야크 공항,IAO,RPNS,아시아,Philippines,필리핀,Siargao Island
Siauliai International Airport,시아울리에 국제공항,SQQ,EYSA,유럽,Lithuania,리투아니아,Siauliai
Sibiti Airport,시비티 공항,SIB,FCBS,아프리카,Republic of the Congo,콩고공화국,Sibiti
Sibiu Airport,시비우 국제공항,SBZ,LRSB,유럽,Romania,루마니아,Sibiu
Siborong-Borong Raja Sisingamangaraja XII International Airport,시보롱보롱 라자 시싱아망가라자 XII 국제공항,DTB,WIMN,아시아,Indonesia,인도네시아,Siborong-Borong
Sibu Airport,시부 공항,SBW,WBGS,아시아,Malaysia,말레이시아,Sibu
Sicogon Island Airport,시코곤 섬 공항,ICO,,아시아,Philippines,필리핀,Sicogon Island
Sidney Richland Municipal Airport,시드니 리치랜드 공항,SDY,KSDY,북미,United States of America,미국,Sidney
Sidney City Airport,시드니 시공항,SNY,KSNY,북미,United States of America,미국,Sidney
Siem Reap Airport,앙코르 국제공항,REP,VDSR,아시아,Cambodia,캄보디아,Siem Reap
Siorapaluk Heliport,시오라팔루크 헬리포트,SRK,,유럽,Greenland,그린란드,Sierra Leone
Sigiriya Airport,지기리야 공항,GIU,VCCS,아시아,Sri Lanka,스리랑카,Sigiriya
Sihanoukville Airport,시하눅빌 국제 공항,KOS,VDSV,아시아,Cambodia,캄보디아,Sihanouk Ville
Siirt Airport,시이르트 공항,SXZ,LTCL,유럽,Turkey,터키,Siirt
Silchar Kumbhirgram Airport,쿰비히그람 공항,IXS,VEKU,아시아,India,인도,Silchar
Silver City Grant County Airport,그랜트 카운티 공항,SVC,KSVC,북미,United States of America,미국,Silver City
Silver Creek Airport,실버크리크 공항,SVK,,중남미,Belize,벨리즈,Silver Creek
Sermiligaaq Heliport,시만강 공항,SGG,,유럽,Greenland,그린란드,Simanggang
Pu'er Simao Airport,쓰마오  공항,SYM,ZPSM,아시아,China,중국,Simao
Simara Airport,시마라 공항,SIF,VNSI,아시아,Nepal,네팔,Simara
Simferopol International Airport,심페로폴 공항,SIP,UKFF,유럽,Ukraine,우크라이나,Simferopol
Simikot Airport,시미콧 공항,IMK,,아시아,Nepal,네팔,Simikot
Sindal Airport,시날 공항,CNL,EKSN,유럽,Denmark,덴마크,Sindal
Singapore Changi Airport,창이 공항,SIN,WSSS,아시아,Singapore,싱가포르,Singapore
Singapore Seletar Airport,셀레타 공항,XSP,WSSL,아시아,Singapore,싱가포르,Singapore
Dabo Singkep Airport,다보 공항,SIQ,WIDS,아시아,Indonesia,인도네시아,Singkep
Sinop Airport,시놉 공항,NOP,LTCM,유럽,Turkey,터키,Sinop
Sinop Presidente Joao Figueiredo Airport,시놉 프레지던트 조아오 피게이레도 공항,OPS,SWSI,중남미,Brazil,브라질,Sinop
Sintang Tebelian Airport,수슬리오 공항,SQG,WIOS,아시아,Indonesia,인도네시아,Sintang
Sion Airport,시온 공항,SIR,LSGS,유럽,Switzerland,스위스,Sion
Sioux Gateway Airport,슈 게이트웨이 공항,SUX,KSUX,북미,United States of America,미국,Sioux City
Sioux Falls Regional Airport,수폴스 지역공항 ,FSD,KFSD,북미,United States of America,미국,Sioux Falls
Sioux Lookout Airport,시욱스룩아웃 공항,YXL,CYXL,북미,Canada,캐나다,Sioux Lookout
Sirjan Airport,시르잔 공항,SYJ,OIKY,중동,Iran,이란,Sirjan
Sirnak Airport,시르나크 공항,NKT,LTCV,유럽,Turkey,터키,Sirnak
Sirri Island Airport,시리아일랜드 공항,SXI,OIBS,중동,Iran,이란,Sirri Island
Sirte Airport,시르테 공항,SRX,HLGD,아프리카,Libya,리비아,Sirt
Sishen Airport,시쉔 공항,SIS,FASS,아프리카,South Africa,남아프리카,Sishen
Sisimiut Airport,홀스타인버그 공항,JHS,BGSS,유럽,Greenland,그린란드,Sisimiut ( Holsteinsborg )
Siteia Airport,시티아 퍼블릭 공항,JSH,LGST,유럽,Greece,그리스,Sitia
Sitka Rocky Gutierrez Airport,싯카 록키 기티레즈 공항,SIT,PASI,북미,United States of America,미국,Sitka
Sittwe Civil Airport,시트웨 시트웨 시빌 공항,AKY,VYSW,아시아,Myanmar,버마,Sittwe
Siuna Airport,시우나 공항,SIU,,중남미,Nicaragua,니카라과,Siuna
Sivas Airport,시바스 공항,VAS,LTAR,유럽,Turkey,터키,Sivas
Siwa Oasis North Airport,시와 오아시스 북공항,SEW,,아프리카,Egypt,이집트,Siwa
Skagway Municipal Airport,스카그웨이 시공항,SGY,PAGY,북미,United States of America,미국,Skagway
Skardu Airport,스카르두 공항,KDU,OPSD,아시아,Pakistan,파키스탄,Skardu
Skelleftea Airport,셸레프테오 공항,SFT,ESNS,유럽,Sweden,스웨덴,Skelleftea
Skiathos Alexandros Papadiamantis Airport,알렉스 파파디아만티스,JSI,LGSK,유럽,Greece,그리스,Skiathos
Skien Airport,시엔  공항,SKE,ENSN,유럽,Norway,노르웨이,Skien
Skopje International Airport,알렉산더 더 그레이트 공항,SKP,LWSK,유럽,North Macedonia (FYROM),북마케도니아,Skopje
Skovde Airport,스코브데 공항,KVB,,유럽,Sweden,스웨덴,Skovde
Skukuza Airport,스쿠쿠자 공항,SZK,FASZ,아프리카,South Africa,남아프리카,Skukuza
Skyros Airport,스키로스 아일랜드 내셔널 공항,SKU,LGSY,유럽,Greece,그리스,Skyros ( Skiros )
Sleetmute Airport,슬리트무트 공항,SLQ,,북미,United States of America,미국,Sleetmute
Sliac Airport,슬라이치 공항,SLD,LZSL,유럽,Slovakia,슬로바키아,Sliac
Sligo Airport,슬라이고 공항 ,SXL,EISG,유럽,Ireland,아일랜드,Sligo
Slovenj Gradec Airport,슬로벤지 그레덱 공항,,LJSG,유럽,Slovenia,슬로베니아,Slovenj Gradec
Smara Airport,스마라 공항,SMW,,아프리카,Morocco,모로코,Smara
Smithers Regional Airport,스미서스 공항,YYD,CYYD,북미,Canada,캐나다,Smithers
Smyrna Airport,스미르나 공항,MQY,KMQY,북미,United States of America,미국,Smyrna
Soalala Airport,소알라라 공항,DWB,,아프리카,Madagascar,마다가스카르,Soalala
Sochi International Airport,아들라 소치 국제공항,AER,URSS,유럽,Russian Federation,러시아,Sochi
Socotra Airport,소코트라 공항,SCT,OYSQ,중동,Yemen,예멘,Socotra
Sobral Regional Airport,소브랄 지방 공항,JSO,SN6L,중남미,Brazil,브라질,Sodertalje
Sofia Airport,소피아 공항 ,SOF,LBSF,유럽,Bulgaria,불가리아,Sofia
Sogndal Haukasen Airport,하우카젠 공항,SOG,ENSG,유럽,Norway,노르웨이,Sogndal
Sohag International Airport,소학 국제공항,HMB,HESG,아프리카,Egypt,이집트,Sohag
Sohar Airport,소하르 공항,OHS,OOSH,중동,Oman,오만,Sohar 
Sokoto Airport,다식 아브바카 더 서드 국제공항,SKO,DNSO,아프리카,Nigeria,나이지리아,Sokoto
Sola Airport,반누나 라바 아일랜드 공항,SLH,,대양주,Vanuatu,바누아투,Sola
Solo City Adi Sumarmo Airport,아디 수마르모 국제공항,SOC,WARQ,아시아,Indonesia,인도네시아,Solo City
Solovetsky Solovki Airport,솔로스키 공항,CSH,ULAS,유럽,Russian Federation,러시아,Solovetsky Islands
Solwezi Airport,솔베지 공항,SLI,,아프리카,Zambia,잠비아,Solwezi
Sonderborg Airport,손더보리 공항 ,SGD,EKSB,유럽,Denmark,덴마크,Sonderborg
Songpan Jiuzhaigou Huanglong Airport,지우쟈이황 공항,JZH,ZUJZ,아시아,China,중국,Song Pan
Songea Airport,손기 공항,SGX,HTSO,아프리카,Tanzania,탄자니아,Songea
Songyuan Chaganhu Airport,스프링 아일랜드 공항,YSQ,,아시아,China,중국,Songyuan
Na San Airport,나 산 공항,SQH,VVNS,아시아,Vietnam,베트남,Son-La
Sorowako Airport,소로아코 공항,SQR,WAWS,아시아,Indonesia,인도네시아,Soroako
Sorocaba Airport,버트램 루이즈루폴스-소로카바 공항,SOD,SDCO,중남미,Brazil,브라질,Sorocaba
Sorriso Airport,소리소 공항,SMT,,중남미,Brazil,브라질,Sorriso
Faroe Islands Vagar Airport,바가 공항,FAE,EKVG,유럽,Faroe Islands,페로 제도,Sorvagur
South Andros Airport,사우스안드로스 공항,TZN,,중남미,Bahamas,바하마,South Andros
South Bend International Airport,사우스벤드 공항,SBN,KSBN,북미,United States of America,미국,South Bend
South Caicos International Airport,사우스케이코스 국제공항,XSC,MBSC,중남미,Turks and Caicos Islands,터크스 케이커스제도,South Caicos
South Indian Lake Airport,사우스 인디언 레이크 공항,XSI,,북미,Canada,캐나다,South Indian Lake
Lake Tahoe Airport,레이크 타호 공항,TVL,KTVL,북미,United States of America,미국,South Lake Tahoe
South Naknek Airport,사우스나크네크 공항,WSN,,북미,United States of America,미국,South Naknek
Zhaosu Tianma Airport,자오수 톈마 공항,ZFL,ZWZS,아시아,China,중국,South Trout Lake
South West Bay Airport,사우스웨스트베이 공항,SWJ,,대양주,Vanuatu,바누아투,South West Bay
Doncaster Sheffield Airport,로빈훗 돈캐스터 쉐필드,DSA,EGCN,유럽,United Kingdom,영국,South Yorkshire
Southampton Airport,사우샘프턴 국제공항  ,SOU,EGHI,유럽,United Kingdom,영국,Southampton
London Southend Airport,사우스엔드 시공항,SEN,EGMC,유럽,United Kingdom,영국,Southend
Sovetskaya Gavan May-Gatka Airport,소베츠카야 가반 메이갓카 공항,GVN,,유럽,Russian Federation,러시아,Sovetskaya Gavan
Sovetsky Airport,소베츠키 공항,OVS,USHS,유럽,Russian Federation,러시아,Sovetskiy
Soyo Airport,소요 공항,SZA,FNSO,아프리카,Angola,앙골라,Soyo
Split Airport,스플리트 공항,SPU,LDSP,유럽,Croatia,크로아티아,Split
Spokane International Airport,스포캔 국제공항,GEG,KGEG,북미,United States of America,미국,Spokane
Felts Field,펠츠 필드 공항,SFF,KSFF,중동,Afghanistan,아프카니스탄,Spokane
Spokane Fairchild AFB Airport,페어차일드 공군기지,SKA,,북미,United States of America,미국,Spokane
Spring Point Springpoint Airport,스프링포인트 스프링포인트 공항,AXP,MYAP,중남미,Bahamas,바하마,Spring Point
Springfield Westover Airport,웨스토버 메트로폴리탄 공항 ,CEF,KCEF,북미,United States of America,미국,Springfield
Springfield-Branson National Airport,스프링필드 브랜슨 공항,SGF,KSGF,북미,United States of America,미국,Springfield
Abraham Lincoln Capital Airport,에이브람 링컨 캐피톨 공항,SPI,KSPI,북미,United States of America,미국,Springfield
Srednekolymsk Airport,스레드네콜림스크 공항,SEK,,유럽,Russian Federation,러시아,Srednekolymsk
Srinagar Airport,스리나가르 공군기지,SXR,VISR,아시아,India,인도,Srinagar
Cardiff St Athan Air Base,세인트 아탄 공군기지,,EGDX,유럽,United Kingdom,영국,St Athan
St Augustine Northeast Florida Regional Airport,세인트오거스틴 플로리다 북동부 지역 공항,UST,KSGJ,북미,United States of America,미국,St Augustine
Saint Barthelemy Airport,산바드레미 공항,SBH,TFFJ,중남미,Saint Barthelemy,생바르텔레미,St Barthelemy
St Cloud Regional Airport,세인트 클라우드 시공항,STC,KSTC,북미,United States of America,미국,St Cloud
Saint Croix Henry E Rohlsen Airport,헨리 E 롤슨 공항 ,STX,TISX,북미,Virgin Islands (US),미국령 버진아일랜드,St Croix Island
St George Regional Airport,세인트조지 시공항,SGU,KSGU,북미,United States of America,미국,St George
St John's International Airport,산존스 공항,YYT,CYYT,북미,Canada,캐나다,St Johns
Land's End Airport,랜즈 엔드 공항,LEQ,EGHC,유럽,United Kingdom,영국,St Just in Penwith
Saint Kitts Robert L Bradshaw Airport,골든 락 공항,SKB,TKPK,중남미,Saint Kitts and Nevis,세인트키츠네비스,St Kitts
Spirit Of St Louis Airport,스피릿 오브 세인트루이스 공항,SUS,KSUS,북미,United States of America,미국,St Louis
Saint Lucia George F. L. Charles Airport,비기 공항,SLU,TLPC,중남미,Saint Lucia,세인트루시아,St Lucia
Saint Lucia Hewanorra Airport,헤와노라 공항,UVF,TLPL,중남미,Saint Lucia,세인트루시아,St Lucia
Sint Maarten Princess Juliana International Airport,프린세스 훌리아나 국제공항,SXM,TNCM,중남미,Sint Maarten,신트마르턴,St Maarten
Saint Martin Esperance Airport,그랑 케이스 공항,SFG,TFFG,중남미,Saint Martin,세인트마틴,St Martin
Cairo Capital International Airport,카이로 수도 국제공항,CCE,HECP,아프리카,Egypt,이집트,St Martin
Saint Michael Airport,세인트마이클 공항,SMK,,북미,United States of America,미국,St Michael
Engadin Airport,사메단 공항,SMV,LSZS,유럽,Switzerland,스위스,St Moritz
Saint-Nazaire Montoir Airport,생나제르 몽트와 공항,SNR,LFRZ,유럽,France,프랑스,St Nazaire
Saint Petersburg Pulkovo Airport,플코보 공항,LED,ULLI,유럽,Russian Federation,러시아,St Petersburg
Saint Thomas Cyril E King Airport,시릴 E. 킹 공항,STT,TIST,북미,Virgin Islands (US),미국령 버진아일랜드,St Thomas Island
Saint Anthony Airport,세인트 안토니 공항,YAY,CYAY,북미,Canada,캐나다,St. Anthony
La Reunion Roland Garros Airport,롤런드 개로스 공항 ,RUN,FMEE,아프리카,Reunion,레위니옹,St. Denis De La Reunion
Saint George Island Airport,세인트조지 공항,STG,PAPB,북미,United States of America,미국,St. George
Grenada Maurice Bishop International Airport,모리스 비숍 국제공항 ,GND,TGPY,중남미,Grenada,그라나다,St. George's
Fox Harbour Airport,폭스 하버 공항,YFX,,북미,Canada,캐나다,St. Lewis
St Louis Lambert International Airport,램버트 세인트루이스 국제공항,STL,KSTL,북미,United States of America,미국,St. Louis
Saint Mary's Airport,세인트 메리즈 공항,KSM,PASM,북미,United States of America,미국,St. Mary's
Saint Paul Island Airport,세인트폴아일랜드 공항,SNP,PASN,북미,United States of America,미국,St. Paul Island
Saint Therese Point Airport,세인트 테레사 포인트 공항,YST,,북미,Canada,캐나다,St. Theresa Point
Antigua VC Bird International Airport,앤티가 VC 버드 국제공항,ANU,TAPA,중남미,Antigua and Barbuda,앤티가바부다,"St.Johns, Antigua"
State College Pennsylvania University Park Airport,유니버시티 파크 공항,SCE,KUNV,북미,United States of America,미국,State College
Pakuashipi Airport,세인터 오거스틴 공항,YIF,CYIF,북미,Canada,캐나다,St-Augustin
Shenandoah Valley Regional Airport,쉐넌도허 밸리 공항,SHD,KSHD,북미,United States of America,미국,Staunton
Stavanger Sola Airport,솔라 공항,SVG,ENZV,유럽,Norway,노르웨이,Stavanger
Stavropol Shpakovskoye Airport,쉬파코프스키에 공항,STW,URMT,유럽,Russian Federation,러시아,Stavropol
Steamboat Springs Airport,스팀보트스프링스 공항 ,SBS,KSBS,북미,United States of America,미국,Steamboat Springs
Stebbins Airport,스테빈스 공항,WBB,,북미,United States of America,미국,Stebbins
Stella Maris Estate Airstrip,에스테이트 공항,SML,MYLS,중남미,Bahamas,바하마,Stella Maris
Stephenville Dymond International Airport,스테픈빌 공항,YJT,CYJT,북미,Canada,캐나다,Stephenville
Stevens Village Airport,스티븐스 빌리지 공항,SVS,,북미,United States of America,미국,Stevens Village
Stillwater Regional Airport,서시 필드 공항,SWO,KSWO,북미,United States of America,미국,Stillwater
Trondheim Vaernes Airport,트론드하임 공항 ,TRD,ENVA,유럽,Norway,노르웨이,Stjordal
Stockholm Arlanda Airport,알란다 공항,ARN,ESSA,유럽,Sweden,스웨덴,Stockholm
Stockholm Bromma Airport,브로마 공항,BMA,ESSB,유럽,Sweden,스웨덴,Stockholm
Stockholm Skavsta Airport,스카프스타 공항,NYO,ESKN,유럽,Sweden,스웨덴,Stockholm
Stockholm Vasteras Airport,바스테라스 하슬로 공항,VST,ESOW,유럽,Sweden,스웨덴,Stockholm
Stockton Metropolitan Airport,스탄턴 메트로 공항,SCK,KSCK,북미,United States of America,미국,Stockton
Stokmarknes Skagen Airport,스카젠 공항,SKN,ENSK,유럽,Norway,노르웨이,Stokmarknes
Stony Rapids Airport,스토니라피즈 공항,YSF,CYSF,북미,Canada,캐나다,Stony Rapids
Stony River Airport,스토니 리버 공항,SRV,,북미,United States of America,미국,Stony River
Stornoway Airport,스토노와 공항,SYY,EGPO,유럽,United Kingdom,영국,Stornoway
Storuman Gunnarn Airport,군나른 공항,SQO,ESUD,유럽,Sweden,스웨덴,Storuman
Strahan Airport,스트라한 공항,SRN,YSRN,대양주,Australia,오스트레일리아,Strahan
Strasbourg Entzheim Airport,앙쯔하임 공항 ,SXB,LFST,유럽,France,프랑스,Strasbourg
Straubing Wallmuehle Airport,왈무흐레 공항,RBM,EDMS,유럽,Germany,독일,Straubing
Strezhevoy Airport,슈트레제보이 공항,SWT,UNSS,유럽,Russian Federation,러시아,Strezhevoy 
Stronsay Airport,스트론세이 공항,SOY,EGER,유럽,United Kingdom,영국,Stronsay
Big Bay Marina,빅베이 마리나,YIG,,북미,Canada,캐나다,Stuart Island
Stuttgart Municipal Airport (US),슈투트가르트 시공항,SGT,KSGT,북미,United States of America,미국,Stuttgart
Stuttgart Airport,에흐테르뎅겐 공항,STR,EDDS,유럽,Germany,독일,Stuttgart
Suavanao Airstrip,수아배나오 공항,VAO,,대양주,Solomon Islands,솔로몬제도,Suavanao
Subic Bay International Airport,수빅만 국제공항,SFS,RPLB,아시아,Philippines,필리핀,Subic Bay
Suceava Salcea Airport,살샤 공항,SCV,LRSV,유럽,Romania,루마니아,Suceava
Sucre Alcantari Airport,후아나 아쥬디 드 퍼딜라 국제공항,SRE,SLAL,중남미,Bolivia,볼리비아,Sucre
Greater Sudbury Airport,서드베리 공항,YSB,CYSB,북미,Canada,캐나다,Sudbury
Warraber Island Airport,워라버 섬 공항,SYU,YWBS,대양주,Australia,오스트레일리아,Sue Islet
Sui Airport,수이 공항,SUL,OPSU,아시아,Pakistan,파키스탄,Sui
Sukhothai Airport,수코타이 공항,THS,VTPO,아시아,Thailand,태국,Sukhothai
Sukhumi Babushara Airport,수후미 바부샤라 공항,,UGSS,유럽,Georgia,조지아,Sukhumi
Suki Airport,수키 공항,SKC,,대양주,Papua New Guinea,파푸아뉴기니,Suki
Sukkur Airport,수쿠르 공항,SKZ,OPSK,아시아,Pakistan,파키스탄,Sukkur
Sulaymaniyah International Airport,슬러머니야 국제공항,ISU,ORSU,중동,Iraq,이라크,Sulaimaniyah
Sullivan Bay Airport,설리번 베이 공항,YTG,,북미,Canada,캐나다,Sullivan Bay
Sulphur Springs Airport,설퍼스프링스 시공항,SLR,KSLR,북미,United States of America,미국,Sulphur Springs
Sumbawa Besar Sultan Muhammad Kaharuddin Airport,브랑 비드지 공항,SWQ,WADS,아시아,Indonesia,인도네시아,Sumbawa
Sumbawanga Airport,숨바왕가 공항,SUT,HTSU,아프리카,Tanzania,탄자니아,Sumbawanga
Sumenep Trunojoyo Airport,트르노조요 공항,SUP,WART,아시아,Indonesia,인도네시아,Sumenep
Summer Beaver Airport,서머 비버 공항,SUR,,북미,Canada,캐나다,Summer Beaver
Sumy Airport,서미 공항,UMY,UKHS,유럽,Ukraine,우크라이나,Sumy
Pilanesberg International Airport,필나네스베르그 공항,NTY,FAPN,아프리카,South Africa,남아프리카,Sun City
Sunchales Airport,선칼레스 공항,NCJ,,중남미,Argentina,아르헨티나,Sunchales
Sundsvall Timra Airport,순스발 티므루 ,SDL,ESNN,유럽,Sweden,스웨덴,Sundsvall
Kerinci Depati Parbo Airport,케린치 데파티 파르보 공항,KRC,,아시아,Indonesia,인도네시아,Sungai Penuh
Sunshine Coast Airport,마로카이도어 공항,MCY,YBSU,대양주,Australia,오스트레일리아,Sunshine Coast
Suntar Airport,순타르 공항,SUY,,유럽,Russian Federation,러시아,Suntar
Sunyani Airport,수니아니 공항,NYI,DGSN,아프리카,Ghana,가나,Sunyani
Havasupai Airport,하바수파이 공항,HAE,,북미,United States of America,미국,Supai Village
Surabaya Juanda Airport,주안다 국제공항,SUB,WARR,아시아,Indonesia,인도네시아,Surabaya
Surat Airport,수라트 공항,STV,VASU,아시아,India,인도,Surat
Surat Thani Airport,수랏타니 공항,URT,VTSB,아시아,Thailand,태국,Surat Thani
Surgut Airport,수르것 공항,SGC,USRR,유럽,Russian Federation,러시아,Surgut
Surigao Airport,수리가오 공항,SUG,RPMS,아시아,Philippines,필리핀,Surigao
Surkhet Airport,서켓 공항,SKH,,아시아,Nepal,네팔,Surkhet
Suva Nausori International Airport,나우조리 국제공항,SUV,NFNA,대양주,Fiji,피지,Suva
Savissivik Heliport,사비시빅헬리포트,SVR,,유럽,Greenland,그린란드,Svay Rieng
Sveg Airport,스베그 공항,EVG,ESND,유럽,Sweden,스웨덴,Sveg
