영문공항명,한글공항명,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명
Mbuji Mayi Airport,엠부지 마이 공항,MJM,FZWA,아프리카,Democratic Republic of the Congo,콩고 민주공화국,Mbuji Mayi
McAllen Miller International Airport,맥캘린 밀러 국제공항,MFE,KMFE,북미,United States of America,미국,McAllen
Mcarthur River Airport,맥커더 리버 공항,MCV,YMHU,대양주,Australia,오스트레일리아,McArthur River Mine
McCook Ben Nelson Regional Airport,맥쿡 시공항,MCK,KMCK,북미,United States of America,미국,McCook
McGrath Airport,맥그래스 공항,MCG,PAMC,북미,United States of America,미국,McGrath
McKinney National Airport,맥키니 카운티 지역공항,,KTKI,북미,United States of America,미국,McKinney
Mecheria Airport,메케리아 공항,MZW,DAAY,아프리카,Algeria,알제리,Mechria
Medan Kualanamu International Airport,쿠알라룸푸 국제 공항,KNO,WIMM,아시아,Indonesia,인도네시아,Medan
Medellin Enrique Olaya Herrera Airport,엔리케 울라야 헤레라 공항,EOH,SKMD,중남미,Colombia,콜롬비아,Medellin
Medellin Jose Maria Cordova Airport,호세 마리아 코르도바 국제공항,MDE,SKRG,중남미,Colombia,콜롬비아,Medellin
Rogue Valley International---Medford Airport,로그 밸리 국제공항 ,MFR,KMFR,북미,United States of America,미국,Medford
Musiara Airport,무시아라 공항,MDR,,아프리카,Kenya,케냐,Medfra
Medicine Hat Airport,메디슨햇 공항,YXH,CYXH,북미,Canada,캐나다,Medicine Hat
Medina Airport (Colombia),메디나 공항 (콜롬비아),MND,,중남미,Colombia,콜롬비아,Medina
Meekatharra Airport,미카다라 공항,MKR,YMEK,대양주,Australia,오스트레일리아,Meekatharra
Meghauli Airport,메가울리 공항,MEY,VNMG,아시아,Nepal,네팔,Meghauli
Mehamn Airport,메함 공항,MEH,ENMH,유럽,Norway,노르웨이,Mehamn
Meizhou Meixian Airport,메이시안 공항,MXZ,ZGMX,아시아,China,중국,Meixian
Kwajalein Atoll Elenak Airport,콰잘린 아톨 엘레낙 공항,EAL,,대양주,Marshall Islands,마셜제도,Mejato Island
Mejit Island Airport,메짓 아일랜드 공항,MJB,,대양주,Marshall Islands,마셜제도,Mejit Atoll
Mekoryuk Ellis Field,엘리스 필드 공항,MYU,PAMY,북미,United States of America,미국,Mekoryuk
